id, energy, cycles, area
0, 7674.17, 3471386.0, 2.01
1, 6665.68, 4148062.0, 1.73
2, 7298.93, 4171847.0, 1.3
3, 7255.38, 4147418.0, 2.55
4, 7751.07, 3472030.0, 1.81
5, 7033.99, 4151295.0, 1.53
