id, energy, cycles, area
0, 8663.12, 3471386, 2.12
1, 7202.6, 4327453, 2.27
2, 8076.81, 3516482, 1.95
3, 7041.15, 4327453, 2.36
4, 9415.1, 3827754, 1.5
5, 8225.29, 3469841, 2.45
6, 7258.51, 4147418, 2.57
7, 6572.8, 4146517, 2.66
8, 8611.61, 4365770, 1.73
9, 7623.08, 4150579, 2.3
