id, energy, cycles, area
0, 25234.76, 20566472, 1.18
1, 24839.43, 17254856, 1.4
2, 22656.04, 14771399, 1.82
3, 25356.39, 17254687, 1.29
4, 29287.41, 37124383, 1.03
5, 24445.31, 17255111, 1.55
6, 26220.67, 20566303, 1.19
7, 25465.56, 17255111, 1.25
