id, energy, cycles, area
0, 7134.61, 4349306, 1.18
1, 6807.99, 4146804, 1.49
2, 6862.91, 4151295, 1.4
3, 6222.8, 3418577, 1.82
4, 7005.76, 4159090, 1.29
5, 6740.38, 4147877, 1.72
6, 7265.49, 4337121, 1.19
7, 7079.48, 4159090, 1.25
8, 6870.35, 4149935, 1.42
9, 7499.57, 6853792, 0.99
10, 6747.81, 3650257, 1.52
11, 7077.38, 4424929, 1.0
