id, energy, cycles, area
0, 24482.52, 20566811.0, 1.77
1, 23661.83, 17254856.0, 2.48
2, 30452.37, 15835592.0, 2.55
3, 24782.76, 20566727.0, 1.58
4, 30779.93, 15835423.0, 1.88
5, 24308.06, 20566472.0, 2.38
