id, energy, cycles, area
0, 1151.04, 955383, 1.18
1, 1120.53, 944527, 1.82
2, 1153.43, 944526, 1.84
3, 1143.06, 954009, 1.25
4, 1138.15, 949697, 1.42
5, 1203.01, 987914, 0.99
6, 1122.66, 944779, 1.52
7, 1171.45, 956840, 1.0
